('2017-04-26 23:55:56', 'Market Commentary For Thursday, Apr 27 $JPM, $ORLY, $BA, $WTW, $NFLX, $IRBT, $DECK, $GOOGL, $WYNN, $AMZN, $EW, $BAC https://t.co/qzfpzhkfrK')
('2017-04-26 23:55:49', '$WDC $STX $IBM $NFLX $FFIV they all missed keep buyin into thu massive tech bubble market givez zero shyts bout earningz $MSFT $AMZN $GOOGL')
('2017-04-26 23:55:14', 'Investors Buy Shares of Netflix, Inc. $NFLX on Weakness on Insider Selling https://t.co/l2fzRBHEWh')
('2017-04-26 23:53:52', '.@NaviAvatar1 on #Periscope: Dow Down 21 points $AAPL $AMZN $TWTR $TSLA $NFLX $FB $CMG https://t.co/iQpQszlNWp')
('2017-04-26 23:53:30', 'Investors Buy Shares of Netflix, Inc. $NFLX on Weakness on Insider Selling https://t.co/asqqoS9ZUI')
('2017-04-26 23:53:30', 'Investors Buy Shares of Netflix, Inc. $NFLX on Weakness on Insider Selling https://t.co/4kkUSatSgM')
('2017-04-26 23:42:03', '@nobullshytrader Your short $TSLA $NFLX $PCLN and $FB')
('2017-04-26 23:36:13', 'Dow Down 21 points $AAPL $AMZN $TWTR $TSLA $NFLX $FB $CMG https://t.co/3ZOeqqrf52')
('2017-04-26 23:04:19', '$NFLX Max Pain = 147.00. Maturity = 05/05/2017. Previous close = 152.16.  https://t.co/EwFIXPQqmk https://t.co/xMnyYHmHxT')
('2017-04-26 23:01:22', 'Netflix prices upsized bond offering $NFLX #netflix #bonds #Finance #streaming #entertainment #tech #stocks  https://t.co/XkyLghBbcA')
('2017-04-26 22:48:07', "RT @TradingNation: Evercore ISI's @RichartRoss sees a huge rally ahead for Netflix. He walks through the $NFLX charts. https://t.co/Dl7U4uH…")
('2017-04-26 22:36:17', '$NFLX:US Netflix Aims for World Domination As Stock Hits Record High #NETFLIX INC  https://t.co/IroXdMLLq3 #NASDAQ')
('2017-04-26 22:34:53', 'Ready to TRADE FULL-TIME? Do it w/our money, learn more here:\n\nhttps://t.co/hOAauZPfYB\n\n$LVS $TWTR $NFLX $NVDA $TSLA $AMZN $GOOGL $FB $AAPL')
('2017-04-26 22:34:53', 'Ready to TRADE FULL-TIME? Do it w/our money, learn more here:\n\nhttps://t.co/sS85hYs06g\n\n$LVS $TWTR $NFLX $NVDA $TSLA $AMZN $GOOGL $FB $AAPL')
