('2017-04-14 08:10:12', 'Is now a good time to buy $jpm $esrx $bac $ibm $mpc https://t.co/SOm8rjdTdp $vlo $twx $unp $rai $tsla $pm $utx $btu #FridayFeeling'),,,,,,,,,,,,
('2017-04-14 08:01:01', '#Use #great #idea #hashtags for #SEO #SearchEngineOptimization https://t.co/fhMmdjOLzk $jpm $xom $mon $xom $mon #FridayBlogs #NYC'),,,,,,,,,,,,
('2017-04-14 07:57:51', 'RT @theflynews: On The Fly: Top stock stories for Thursday $JPM $WFC $C $AAOI $TSLA $SKYW $DXCM $AAPL $PIR $INFY https://t.co/n22MvU0jIo'),,,,,,,,,,,,
('2017-04-14 07:25:06', '#Use #great #idea #hashtags for #SEO #SearchEngineOptimization https://t.co/YycaiqUoQY $jpm $xom $mon $xom $mon #FridayBlogs #NYC'),,,,,,,,,,,,
('2017-04-14 07:20:13', '#Use #great #idea #hashtags for #SEO #SearchEngineOptimization https://t.co/vT9Hmo1bMP $jpm $xom $mon $xom $mon #FridayBlogs #NYC'),,,,,,,,,,,,
('2017-04-14 07:15:43', 'RT @WallStreetTrend: #Use #great #idea #hashtags for #SEO #SearchEngineOptimization https://t.co/SOm8rjdTdp $jpm $xom $mon $xom $mon #Fridaâ€_'),,,,,,,,,,,,
('2017-04-14 07:15:13', '#Use #great #idea #hashtags for #SEO #SearchEngineOptimization https://t.co/SOm8rjdTdp $jpm $xom $mon $xom $mon #FridayBlogs #NYC'),,,,,,,,,,,,
('2017-04-14 07:02:02', '#JPMorgan $JPM stock reverse, could drop another 11% https://t.co/86P3YK5nzA https://t.co/ys5c0qK7uw'),,,,,,,,,,,
('2017-04-14 07:02:02', '#JPMorgan $JPM stock reverse, could drop another 11% https://t.co/boWff9u24P https://t.co/s0YOAxgvmg'),,,,,,,,,,,
('2017-04-14 06:55:44', 'American Express: Threats On The Horizon? https://t.co/q8oIDJJvZh $JPM $MA $PYPL $V $AXP $AAPL $GOOG $GOOGL'),,,,,,,,,,,,
('2017-04-14 06:45:08', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/ERAR2fB6FUâ€_ https://t.co/9DWfB8D4wE'),,,,,,,,,,,,
('2017-04-14 06:45:07', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/AHLbrXK6rXâ€_ https://t.co/EOvVubkVwe'),,,,,,,,,,,,
('2017-04-14 06:45:07', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/V9E4EZfykaâ€_ https://t.co/O32OCCnvkH'),,,,,,,,,,,,
('2017-04-14 06:45:07', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/eqOSX9uo8Gâ€_ https://t.co/A7uv1H9Yjf'),,,,,,,,,,,,
('2017-04-14 06:45:07', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/66tPMEQVhHâ€_ https://t.co/rnDbnxgTq1'),,,,,,,,,,,,
('2017-04-14 06:45:07', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/vZVqF0myz5â€_ https://t.co/FXkLaZEbEH'),,,,,,,,,,,,
('2017-04-14 06:43:14', 'RT @theflynews: On The Fly: Top stock stories for Thursday $JPM $WFC $C $AAOI $TSLA $SKYW $DXCM $AAPL $PIR $INFY https://t.co/n22MvU0jIo'),,,,,,,,,,,,
('2017-04-14 06:10:48', 'RT @traderstewie: The action in $JPM today tells you all need to know about this market https://t.co/9CohkFamRZ'),,,,,,,,,,,,
('2017-04-14 06:04:09'," ""RT @investools: 04/13/2017-\nToday's Market Forecast video can be viewed here https://t.co/SPvEujQdFw\nDiscussed: $Investools $SPX $RUT $NEEâ€_"")",,,,,,,,,,,,
('2017-04-14 05:40:42'," ""RT @WallStJesus: _Ÿ”¥TODAY'S ACTIVE FLOW &gt;&gt; $BAC $AAPL $TSLA $JPM $WFC $FB $C $AMZN $MU $NVDA $NFLX $X $BABA $VALE $BBRY $CMG $GS $QCOM $WLL $â€_"")",,,,,,,,,,,,
('2017-04-14 05:32:38', 'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6S6F0U https://t.co/N7lBLrvqH7'),,,,,,,,,,,,
('2017-04-14 05:11:54', '$JPM JPMorgan tries TV stars, political muscle to regain mortgage footing https://t.co/s6dWQNj397'),,,,,,,,,,,
('2017-04-14 05:03:16', 'Earnings Reporting Season Kicks Off $BRK.A $BRK.B $C $JPM $WFC $TSLA $OIL $USO https://t.co/PBmk0eyaKd'),,,,,,,,,,,,
('2017-04-14 05:03:13', 'Earnings Reporting Season Kicks Off $BRK.A $BRK.B $C $JPM $WFC $TSLA $OIL $USO https://t.co/a7xuBdeeOa'),,,,,,,,,,,,
('2017-04-14 04:09:07', 'RT @420WeedStreet: $SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $IBB $TSLA httpsâ€_'),,,,,,,,,,,,
('2017-04-14 04:05:42', '$SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $IBB $TSLA https://t.co/e3dkjvc6Lo'),,,,,,,,,,,,
('2017-04-14 04:05:00', 'RT @6742alex: American Express: Threats On The Horizon? https://t.co/hH6dIBJcgj $JPM $MA $PYPL $V $AXP $AAPL $GOOG $GOOGL'),,,,,,,,,,,,
('2017-04-14 03:57:54', 'JPMorgan Chase &amp; Co. $JPM Position Cut by Gabelli Funds LLC https://t.co/qbmiYlE4gF'),,,,,,,,,,,,
('2017-04-14 03:57:49', 'American Express: Threats On The Horizon? https://t.co/hH6dIBJcgj $JPM $MA $PYPL $V $AXP $AAPL $GOOG $GOOGL'),,,,,,,,,,,,
('2017-04-14 03:57:31'," ""RT @StockTwits: 29 companies have already reported Q1 2017 earnings. Here's a list to catch you up: https://t.co/zfR26OJNjL\n\n$JPM  $WFC $NKâ€_"")",,,,,,,,,,,,
('2017-04-14 03:45:53', 'Big bank earnings getting a boost from trading, IPOs, M&amp;A and cost cutting $JPM $XLF  https://t.co/Iy1khU1S6e'),,,,,,,,,,
('2017-04-14 03:36:27', 'RT @420WeedStreet: $SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY #MOAB #NorthKoreâ€_'),,,,,,,,,,,,
('2017-04-14 03:34:48', '$SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY #MOABâ€_ https://t.co/KmdnfhPHtv'),,,,,,,,,,,,
('2017-04-14 03:22:34'," ""#JPMorganChase organ's -st-Quarter Earnings Boosted by Trading. Read more: https://t.co/hYXC5KQYvs $JPM"")",,,,,,,,,,,,
('2017-04-14 03:18:58', 'Market Talk - Thursday, April 13 $BHP $C $JPM $WFC $FXY $UUP $FXE $FXB https://t.co/cJkonDwpkw'),,,,,,,,,,,
('2017-04-14 03:18:14', '#JPMorganChase #organChase : &amp; Citigroup profits up; Wells Fargo remains flat . Read more: https://t.co/VeYa83p1wv $JPM'),,,,,,,,,,,,
('2017-04-14 03:03:21', 'Update that turd $JPM https://t.co/IILVny0yYU'),,,,,,,,,,,,
('2017-04-14 03:02:47', '#JPMorganChase AKO-A (AKO-A) Upgraded at #organChase &amp; Co. Read more: https://t.co/CCes4P4FCg $JPM'),,,,,,,,,,,,
('2017-04-14 02:42:30', 'RT @OTCMarketsNews: $JPM $AEM JPMorganâ€™s most preferred US gold producer is Agnico Eagle Mines Ltd (NYSE:AEM) https://t.co/7Ate8NoGLF'),,,,,,,,,,,,
('2017-04-14 02:38:18', 'RT @OTCMarketsNews: $JPM $AEM JPMorganâ€™s most preferred US gold producer is Agnico Eagle Mines Ltd (NYSE:AEM) https://t.co/7Ate8NoGLF'),,,,,,,,,,,,
('2017-04-14 02:32:26', '$XLF -1.29% (a closer look) 4/13\nVolume 118,589,723\n65 Day Avg Vol 71,296,015 \ntop hlds MF($/M) $BRKB-10 $JPM-50â€_ https://t.co/5D4h1jMir2'),,,,,,,,
('2017-04-14 02:17:21'," ""RT @TradingNation: With bank earnings on tap"," here's how traders are looking to cash in:\n\n$C $JPM $WFC https://t.co/fbz7rmThSw https://t.coâ€_"")",,,,,,,,,,,
('2017-04-14 02:04:50', '$JPM beat expectations yet the mkt took stock down https://t.co/DmNIX8Z7BD'),,,,,,,,,,,,
('2017-04-14 02:02:50', '#JPMorganChase Wells Fargo : organ reports 17% jump in quarterly profit . Read more: https://t.co/Ni0WNTYRgO $JPM'),,,,,,,,,,,,
('2017-04-14 02:02:44', 'RT @SwatOptions: $JPM now trader buys 6,2k APR.21 2017 PUT 84, sells APR.28, 2017 PUT 80 and buys APR.28, 2017 CALL 91 for 0.67$ debit'),,,,,,,,
('2017-04-14 02:02:12', '#JPMorganChase organ beats profit forecasts, helped by interest rates. Read more: https://t.co/Sjj37yaXJH $JPM'),,,,,,,,,,,
('2017-04-14 01:59:11'," ""RT @RustySovine: $JPM and $C couldn't stop the slide. #StockMarket $SPX 2100 is in play."")",,,,,,,,,,,,
('2017-04-14 01:44:51', 'RT @traderstewie: The action in $JPM today tells you all need to know about this market https://t.co/9CohkFamRZ'),,,,,,,,,,,,
('2017-04-14 01:43:25', 'RT @Echofox82: Trump is dialing back his economic promises. Bigly. https://t.co/1hoBtmr84S $spy $qqq $aapl $amzn $tsla $nflx $fb $jpm $c #eâ€_'),,,,,,,,,,,,
('2017-04-14 01:40:50', '@CarterMansbach So any weakness on fundamentally positive stocks I will be in, like $JPM'),,,,,,,,,,,
('2017-04-14 01:29:31', 'RT @SeekingAlpha: American Express: Threats On The Horizon? https://t.co/mOzaNylADG $AMZN $FB $JPM $MA $PYPL $V $AXP'),,,,,,,,,,,,
('2017-04-14 01:28:17', 'RT @SeekingAlpha: American Express: Threats On The Horizon? https://t.co/mOzaNylADG $AMZN $FB $JPM $MA $PYPL $V $AXP'),,,,,,,,,,,,
('2017-04-14 01:22:26'," ""If you didn't Buy! Buy! Buy! $JPM after that dip after the conference call... Shame.. Great Q! Going up MR DIMON? $XLF $C $BAC"")",,,,,,,,,,,,
('2017-04-14 01:21:06', 'RT @GreenStocks2016: Bearish close below 50MA Watch the 200MA. $SPY $QQQ $INDU $IWM $AGG $BND $GLD $BTC $GOOG $IVV $VTI $AAPL $FB $dia $indâ€_'),,,,,,,,,,,,
('2017-04-14 01:20:56', 'RT @GreenStocks2016: Bearish close below 50MA Watch the 200MA. $SPY $QQQ $INDU $IWM $AGG $BND $GLD $BTC $GOOG $IVV $VTI $AAPL $FB $dia $indâ€_'),,,,,,,,,,,,
('2017-04-14 01:20:40', 'RT @GreenStocks2016: Bearish close below 50MA Watch the 200MA. $SPY $QQQ $INDU $IWM $AGG $BND $GLD $BTC $GOOG $IVV $VTI $AAPL $FB $dia $indâ€_'),,,,,,,,,,,,
('2017-04-14 01:19:50', 'Bearish close below 50MA Watch the 200MA. $SPY $QQQ $INDU $IWM $AGG $BND $GLD $BTC $GOOG $IVV $VTI $AAPL $FB $diaâ€_ https://t.co/6JWpC2WlbD'),,,,,,,,,,,,
('2017-04-14 01:16:18', 'Trump is dialing back his economic promises. Bigly. https://t.co/1hoBtmr84S $spy $qqq $aapl $amzn $tsla $nflx $fb $jpm $c #economy #stocks'),,,,,,,,,,,,
('2017-04-14 01:14:50', 'RT @charliebilello: Bank stocks end the week at 4-month lows. Post-election euphoria wearing off. $JPM $C $BAC $MS $GS $WFC https://t.co/SHâ€_'),,,,,,,,,,,,
('2017-04-14 01:10:04', 'RT @charliebilello: Bank stocks end the week at 4-month lows. Post-election euphoria wearing off. $JPM $C $BAC $MS $GS $WFC https://t.co/SHâ€_'),,,,,,,,,,,,
('2017-04-14 01:07:06', 'RT @420WeedStreet: US Air Force sends message 2 N.Korea w/ display of air power! https://t.co/s4eylP153n $SPY $SPX $QQQ $ES_F $IWM $FB $GSâ€_'),,,,,,,,,,,,
('2017-04-14 01:06:36'," ""$JPM and $C couldn't stop the slide. #StockMarket $SPX 2100 is in play."")",,,,,,,,,,,,
('2017-04-14 01:01:44', 'American Express: Threats On The Horizon? https://t.co/xu1p29phFe $AMZN $FB $JPM $MA $PYPL $V $AXP'),,,,,,,,,,,,
('2017-04-14 00:52:31'," ""RT @WallStJesus: _Ÿ”¥TODAY'S ACTIVE FLOW &gt;&gt; $BAC $AAPL $TSLA $JPM $WFC $FB $C $AMZN $MU $NVDA $NFLX $X $BABA $VALE $BBRY $CMG $GS $QCOM $WLL $â€_"")",,,,,,,,,,,,
('2017-04-14 00:50:27', 'American Express: Threats On The Horizon? $AMZN $FB $JPM $MA $PYPL $V $AXP https://t.co/SUgGYNKFE9 #Investingâ€_ https://t.co/2I5SCJVg5a'),,,,,,,,,,,,
('2017-04-14 00:50:05', 'US Air Force sends message 2 N.Korea w/ display of air power! https://t.co/s4eylP153n $SPY $SPX $QQQ $ES_F $IWM $FB $GS $AMZN $JPM $GOOGL'),,,,,,,,,,,,
('2017-04-14 00:46:32', 'American Express: Threats On The Horizon? https://t.co/mOzaNylADG $AMZN $FB $JPM $MA $PYPL $V $AXP'),,,,,,,,,,,,
('2017-04-14 00:44:33', 'Jamie Dimon says fixing #mortgage industry would boost lending by $300 billion a year https://t.co/aj0mCGS6Dd $JPM #RealEstate'),,,,,,,,,,,,
('2017-04-14 00:26:27'," '@allstarcharts But Tepper said ""you bet your heinie"" short bonds at 2.60% on 10 year and I\'m killed in long $TBTâ€_ https://t.co/XkrzBAVu28')",,,,,,,,,,,,
('2017-04-14 00:14:31', 'RT @jpmorgan: $JPM reports 1Q17 net income of $6.4B; $1.65 EPS on revenue of $25.6B; ROTCE of 13% https://t.co/fd6YicK60w'),,,,,,,,,,,,
('2017-04-14 00:14:06'," ""RT @StockTwits: 29 companies have already reported Q1 2017 earnings. Here's a list to catch you up: https://t.co/zfR26OJNjL\n\n$JPM  $WFC $NKâ€_"")",,,,,,,,,,,,
('2017-04-14 00:05:39'," ""RT @w_biltmore85: Great summary of today's bank earnings $JPM $C $WFC $PNC https://t.co/RbqGyquSOR"")",,,,,,,,,,,,
('2017-04-14 00:00:54', 'RT @jpmorgan: $JPM reports 1Q17 net income of $6.4B; $1.65 EPS on revenue of $25.6B; ROTCE of 13% https://t.co/fd6YicK60w'),,,,,,,,,,,,
('2017-04-14 00:00:12', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:59:17', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:58:47', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:58:21', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:57:00', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:55:40', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:55:14', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:54:22', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:54:01', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:53:38', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:53:08', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:52:48', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:52:20', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:51:52', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:51:27', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:51:04', 'Bank earnings off to a good start with $JPM https://t.co/NI8KS8W98H'),,,,,,,,,,,,
('2017-04-13 23:51:02', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:50:34', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:50:05', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:49:44', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:49:12', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:48:54', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:48:32', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:47:58', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:47:38', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:47:11', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:46:37', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:46:08', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:45:17', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:44:53', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:44:08', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:40:31', 'Nightly Business Report - April 13, 2017\n\nhttps://t.co/Py11nAxSxc\n\n$JPM $WFC $C $PNC $UAL $AAPL $JCP $TSLA https://t.co/a3rgEkfXYx'),,,,,,,,,,,
('2017-04-13 23:40:22'," ""Great summary of today's bank earnings $JPM $C $WFC $PNC https://t.co/RbqGyquSOR"")",,,,,,,,,,,,
('2017-04-13 23:40:02', '$JPM - J.P. Morgan, Citi Score Big Gains, but Shareholders Want More https://t.co/xSeUlB71al'),,,,,,,,,,
('2017-04-13 23:36:55', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:36:52', '#JPMorganChase JP Morgan Chase Levels to Watch After Earnings. Read more: https://t.co/VUrrFOHLqx $JPM'),,,,,,,,,,,,
('2017-04-13 23:35:43', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:35:21', 'Commented on Breaking Down Bank Earnings https://t.co/BVv9pS1yN6 $JPM $C $WFC'),,,,,,,,,,,,
('2017-04-13 23:33:48', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:33:10', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:32:50', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:31:47', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:31:11', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:31:08'," ""RT @ChartMill: 29 companies have already reported Q1 2017 earnings. Here's a list to catch you up: \n\n$JPM  $WFC $NKE $FDX https://t.co/uoqLâ€_"")",,,,,,,,,,,,
('2017-04-13 23:30:08', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:29:02', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:28:40', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:27:57', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:27:03', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:26:28', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:25:58', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:25:33', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:24:54', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:23:58', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:23:23', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
('2017-04-13 23:22:53', 'RT @philstockworld: Flip Flopping Thursday - Trump Policy Reversals Confuse Markets $FAS $SKF $UDN $C $JPM $WFC https://t.co/KDkqISpjDJ'),,,,,,,,,,,,
