('2017-04-17 15:58:51', 'Where are the #rates going? \n\n#bank analyst Mike Mayo reveals his top pick...$GS $BAC $JPM $C $XLF\n\nhttps://t.co/U4skqDj6xc'),,,,,
('2017-04-17 15:50:30', 'Dow #Stocks Trend $MSFT $CAT $INTC $MRK $DD $BA $CSCO $AAPL $IBM $MCD $JPM $DIS $UNH $V $HD $TRV $MMM $AXP $GS  @ https://t.co/TvzJfd0RGT'),,,,,
('2017-04-17 15:50:26', '@varney YOU can THANK Richard Cordray, CFPB, Elizabeth Warren for your mortgage paperwork NIGHTMARE. that was MAIN purpose of CFPB\n$JPM $BAC'),,,
('2017-04-17 15:48:04', '$JPM:\n\nJill Biden Added to JPMorgan_—Ès Military and Veterans Affairs _—_:\n\nhttps://t.co/0vawmWI79F'),,,,,
('2017-04-17 15:46:37', 'Long $BBVA great play #Venezuela heads 2 #Elections BBVA owns #1 Bank in Venezuela and $SAN better bet than $JPM $MS $GS $CS $BAC $BPOP $BBT'),,,,,
('2017-04-17 15:44:28', '$JPM 82.5 Calls SELLING Activity expiring on 21st Jul, Vol 1590'),,,,
('2017-04-17 15:44:12'," ""Citigroup's Q1: Investment Banking"," Trading Helped Expansion https://t.co/SHiWG47HbD $C $WFC $JPM $BAC"")",,,,
('2017-04-17 15:42:50'," ""$JPM: JPMorgan's March credit card write-offs were at 2.47% vs 2.28% M/M. Watch this metric closely moving forward."")",,,,,
('2017-04-17 15:31:04'," ""RT @RudyHavenstein: With all the $WFC outrage"," why hasn't the financial media gone after $C or $JPM in the same way? @CNBC @business https:_—_"")",,,,
('2017-04-17 15:16:15', 'BLOCK TRADE: $JPM 750,000 shares @ $84.98 [11:13:00] #BlockTradeAlert @AlertTrade https://t.co/qeciuNBsW3'),,,,
('2017-04-17 15:15:46', 'BLOCK TRADE: $JPM 750,000 shares @ $84.98 [11:13:00] #BlockTradeAlert'),,,,
('2017-04-17 15:13:03', 'BLOCK TRADE: $JPM 750,000 shares @ $84.98 [11:13:00]'),,,,
('2017-04-17 15:08:53', 'JPMorgan Chase &amp; Co. $JPM Issues Quarterly Earnings Results https://t.co/d9MrXDzpb0'),,,,,
('2017-04-17 15:06:57', 'RT @420WeedStreet: $SPY Nice! $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://t._—_'),,,,,
('2017-04-17 15:04:42', 'JPMorgan Chase &amp; Co._—Ès $JPM _—“Neutral_—ù Rating Reaffirmed at Nomura https://t.co/AvcPTCT6aM'),,,,,
('2017-04-17 15:04:08', 'RT @conkers3: .@Skoylesy @MarkTOByrne @NedNL @BitcoinMagazine @DominicFrisby @craigbrownphd @KoosJansen @mad_etf @stacyherbert Top 5 #UK #F_—_'),,,,,
('2017-04-17 14:59:08'," ""JPMorgan Chase &amp; Co.'s neutral rating reiterated at Nomura. $83.00 PT. https://t.co/M8MFwEMfie $JPM #JPM"")",,,,,
('2017-04-17 14:56:29', '$JPM looking like maybe a failed breakdown @ $85'),,,,,
('2017-04-17 14:56:16'," ""JPMorgan Chase &amp; Co.'s neutral rating reiterated at Nomura. $83.00 PT. https://t.co/xALIoSbIFw $JPM #JPM"")",,,,,
('2017-04-17 14:55:34', 'Amex, Challenged by Chase, Is Losing the Snob War\nhttps://t.co/Br2BwvoaxZ\n$AXP $JPM'),,,
('2017-04-17 14:54:45', 'RT @conkers3: .@Skoylesy @MarkTOByrne @NedNL @BitcoinMagazine @DominicFrisby @craigbrownphd @KoosJansen @mad_etf @stacyherbert Top 5 #UK #F_—_'),,,,,
('2017-04-17 14:51:48', '.@Skoylesy @MarkTOByrne @NedNL @BitcoinMagazine @DominicFrisby @craigbrownphd @KoosJansen @mad_etf @stacyherbert To_—_ https://t.co/SGHoT9heto'),,,,,
('2017-04-17 14:49:55'," ""RT @RudyHavenstein: With all the $WFC outrage"," why hasn't the financial media gone after $C or $JPM in the same way? @CNBC @business https:_—_"")",,,,
('2017-04-17 14:48:27', 'JPMorgan Lists 7 Reasons Why Twilio Is A Buy https://t.co/Y49Au7Kdij $TWLO $JPM https://t.co/WE6X3UWR46'),,,,,
('2017-04-17 14:44:48', '$JPM covered strangle @ 2.95, 14.5% winner in 3 days. Will look to put on June position soon.'),,,,
('2017-04-17 14:40:33', '$GS $JPM $XLF $SPY Goldman daily chart, a case study in divergence trading...#banks #GOLD https://t.co/eTQnp4cE59'),,,,
('2017-04-17 14:34:21', 'RT @YahooFinance: JPMorgan tries TV stars, political muscle to regain mortgage footing https://t.co/cAKAu8FNDv $JPM https://t.co/1zmO21gcz2'),,,,
('2017-04-17 14:34:10', '#JPMorganChase organ Tries TV Stars, Political Muscle to Regain Mortgage Footing. Read more: https://t.co/TerRWWYC0n $JPM'),,,,
('2017-04-17 14:28:44'," ""RT @RudyHavenstein: With all the $WFC outrage"," why hasn't the financial media gone after $C or $JPM in the same way? @CNBC @business https:_—_"")",,,,
('2017-04-17 14:27:10', 'RT @YahooFinance: JPMorgan tries TV stars, political muscle to regain mortgage footing https://t.co/cAKAu8FNDv $JPM https://t.co/1zmO21gcz2'),,,,
('2017-04-17 14:27:10'," ""Entered a May Iron Fly in $JPM: 77.5/85/92.5 strikes for a $3.63 credit. Risk is $3.87 and I'll be looking to keep 91cents. #Gimme"")",,,,,
('2017-04-17 14:26:44', 'BLOCK TRADE: $JPM 500,000 shares @ $84.81 [10:26:42]'),,,,
('2017-04-17 14:24:28', 'YahooFinance: JPMorgan tries TV stars, political muscle to regain mortgage footing https://t.co/jMLN3A3ceZ $JPM https://t.co/mN1dvldV0r'),,,,
('2017-04-17 14:19:29', 'RT @YahooFinance: JPMorgan tries TV stars, political muscle to regain mortgage footing https://t.co/cAKAu8FNDv $JPM https://t.co/1zmO21gcz2'),,,,
('2017-04-17 14:17:17', 'YahooFinance: JPMorgan tries TV stars, political muscle to regain mortgage footing https://t.co/PZYNRatUOe $JPM _—_ https://t.co/MeKn24g5pE'),,,,
('2017-04-17 14:15:25', 'YahooFinance: JPMorgan tries TV stars, political muscle to regain mortgage footing https://t.co/bjYbEITv9S $JPM https://t.co/6pUiKD62UL #_—_'),,,,
('2017-04-17 14:15:03', 'JPMorgan tries TV stars, political muscle to regain mortgage footing https://t.co/cAKAu8FNDv $JPM https://t.co/1zmO21gcz2'),,,,
('2017-04-17 14:14:29', '$JPM up 0.7% to 84.97 bullish at a cycle bottom #stocks #markets #trading  https://t.co/ieiVw8BdN5'),,,,,
('2017-04-17 14:13:54', 'Stocks the Market Is Wrong About https://t.co/oqc5VWzmYr $EXAS $V $JPM $CVE $AXP $COP https://t.co/1fDeLGMoxs'),,,,,
('2017-04-17 14:12:01', '$JPM - JPMorgan Chase appoints Jill Biden to Military and Veterans Affairs External Advisory Council https://t.co/CInKgzShYc'),,,,,
